case_ref_number,month,dpd,principal_outstanding,bucket,total_due,resolution_status
CR_009_SANJAY,2025-07,0,162850,Norm,4861,Norm
CR_009_SANJAY,2025-08,0,164065,Norm,4861,Norm
CR_009_SANJAY,2025-09,0,165280,Norm,4861,Norm
CR_009_SANJAY,2025-10,0,166495,Norm,4861,Norm
CR_009_SANJAY,2025-11,0,167710,Norm,4861,Norm
CR_009_SANJAY,2025-12,0,168925,Norm,4861,Norm
CR_009_SANJAY,2026-01,0,170140,Norm,4861,Norm
CR_009_SANJAY,2026-01,30,171355,X1,4861,Rollforward
CR_009_SANJAY,2026-03,0,172570,Norm,4861,Rollback
CR_009_SANJAY,2026-04,0,173785,Norm,4861,Norm
CR_010_POOJA,2023-11,295,134180,B3,12777,Rollforward
CR_010_POOJA,2023-12,300,137374,B3,12777,Stab
CR_010_POOJA,2024-01,285,140568,B3,12777,Rollback
CR_010_POOJA,2024-02,285,143762,B3,12777,Stab
CR_010_POOJA,2024-03,270,146956,B3,12777,Rollback
CR_010_POOJA,2024-04,260,150150,B3,12777,Rollback
CR_010_POOJA,2024-05,240,153344,B3,12777,Rollback
CR_010_POOJA,2024-06,220,156538,B3,12777,Rollback
CR_010_POOJA,2024-07,200,159732,B3,12777,Rollback
CR_010_POOJA,2024-08,190,162926,B3,12777,Rollback
CR_010_POOJA,2024-09,170,166120,B2,12777,Rollback
CR_010_POOJA,2024-10,155,169314,B2,12777,Rollback
CR_010_POOJA,2024-11,135,172508,B2,12777,Rollback
CR_010_POOJA,2024-12,115,175702,B1,12777,Rollback
CR_010_POOJA,2025-01,100,178896,B1,12777,Rollback
CR_010_POOJA,2025-02,105,182090,B1,12777,Stab
CR_010_POOJA,2025-03,90,185284,X3,12777,Rollback
CR_010_POOJA,2025-04,80,188478,X3,12777,Rollback
CR_010_POOJA,2025-05,80,191672,X3,12777,Stab
CR_010_POOJA,2025-06,70,194866,X3,12777,Rollback
CR_010_POOJA,2025-07,55,198060,X2,12777,Rollback
CR_010_POOJA,2025-08,35,201254,X2,12777,Rollback
CR_010_POOJA,2025-09,40,204448,X2,12777,Stab
CR_010_POOJA,2025-10,45,207642,X2,12777,Stab
CR_010_POOJA,2025-11,30,210836,X1,12777,Rollback
CR_010_POOJA,2025-12,35,214030,X2,12777,Stab
CR_010_POOJA,2026-01,40,217224,X2,12777,Stab
CR_010_POOJA,2026-01,25,220418,X1,12777,Rollback
CR_010_POOJA,2026-03,30,223612,X1,12777,Stab
CR_010_POOJA,2026-04,10,226806,X1,12777,Rollback
